Object ID,Street Name,Street Type,CNN ID,Street Name 2,Street Type 2,Street Name 3,Street Type 3,Street Name 4,Street Type 4,Annual Pedestrian Volume,Last Edited Date,Geom
302,REY,ST,54118000,TOWERSIDE,AVE, , , , ,254440,,"(37.7103988315, -122.412536068)"
303,ALLISON,ST,21449000,HANOVER,ST, , , , ,145960,,"(37.7099507554, -122.440610825)"
304,DRAKE,ST,21415000,PRAGUE,ST, , , , ,129783,,"(37.7100283705, -122.436700864)"
305,PRETOR,WAY,21465000,GUTTENBERG,ST, , , , ,149054,,"(37.7099395468, -122.443013624)"
306,WINDING,WAY,21452000,POPE,ST,PRAGUE,ST, , ,132211,,"(37.7099983845, -122.439494088)"
307,CIELITO,DR,20430000,PARQUE,DR, , , , ,209861,,"(37.7102911421, -122.421664835)"
308,GARRISON,AVE,20376000,ARGONAUT,AVE, , , , ,335694,,"(37.7104310397, -122.413175019)"
309,LAKE MERCED,BLVD,33737000,UNNAMED 129,0, , , , ,309826,,"(37.709243009, -122.485149595)"
310,BALTIMORE,WAY,21374000,SOUTH HILL,BLVD, , , , ,265161,,"(37.7101713839, -122.430689604)"
311,GOETHE,ST,22463000,RHINE,ST,CRYSTAL,ST,DE LONG,ST,181856,,"(37.7096784292, -122.460626113)"
312,WILSON,ST,22481000,DE LONG,ST, , , , ,197994,,"(37.7096679045, -122.46187837)"
313,ORIZABA,AVE,22484000,DE LONG,ST, , , , ,76824,,"(37.7096620983, -122.462568422)"
314,DE LONG,ST,22483000,FLOURNOY,ST, , , , ,161658,,"(37.709656458, -122.463238398)"
315,PANAMA,ST,52042000,SAN DIEGO,AVE, , , , ,88428,,"(37.7096130973, -122.466482783)"
316,SHAKESPEARE,ST,22486000,DE LONG,ST, , , , ,62229,,"(37.7096448028, -122.464621264)"
317,PRAGUE,ST,33361000,WINDING,WAY, , , , ,80118,,"(37.7100752251, -122.438692967)"
318,NIANTIC,AVE,52040000,PANAMA,ST, , , , ,169231,,"(37.7096081507, -122.467339711)"
319,PANAMA,ST,33431000,NIANTIC,AVE, , , , ,198332,,"(37.7096048377, -122.467913071)"
320,HANOVER,ST,33355000,UNNAMED 069,0, , , , ,46934,,"(37.7100849636, -122.440104913)"
321,HAHN,ST,20414000,BLYTHDALE,AVE, , , , ,290212,,"(37.7104781131, -122.416661668)"
322,MISSION,ST,21547000,FARRAGUT,AVE, , , , ,377510,,"(37.7099511403, -122.449321879)"
323,VISITACION,AVE,20316000,DESMOND,ST, , , , ,328187,,"(37.7106877669, -122.405222245)"
324,SCHWERIN,ST,20371000,SUNNYDALE,AVE, , , , ,333921,,"(37.710609462, -122.411362209)"
325,PRAGUE,ST,21393000,CORDOVA,ST, , , , ,275761,,"(37.710243666, -122.434992703)"
326,MCCARTHY,AVE,20379000,ARGONAUT,AVE, , , , ,341726,,"(37.7106361362, -122.413915725)"
327,POPE,ST,21418000,HANOVER,ST, , , , ,194589,,"(37.7102220734, -122.43958805)"
328,LATHROP,AVE,20284000,WHEELER,AVE, , , , ,284440,,"(37.7108699279, -122.40029747)"
329,BLANKEN,AVE,20268000,GILLETTE,AVE, , , , ,118126,,"(37.7109990893, -122.396494594)"
330,HARNEY,WAY,20259000,JAMESTOWN,AVE, , , , ,192108,,"(37.7111660191, -122.386465114)"
331,BLANKEN,AVE,20263000,EXECUTIVE PA,BLVD, , , , ,114968,,"(37.7110344325, -122.394802432)"
332,UNNAMED PRIV,0,54115000,CRESCENT,WAY, , , , ,193362,,"(37.7111414937, -122.389777786)"
333,CONCORD,ST,21459000,PRETOR,WAY, , , , ,219738,,"(37.710319004, -122.44190479)"
334,SAN DIEGO,AVE,52043000,DE LONG,ST, , , , ,82224,,"(37.7099361541, -122.466220092)"
335,SANTOS,ST,20423000,BLYTHDALE,AVE, , , , ,184092,,"(37.7107368847, -122.418785049)"
336,I-280 N ON,RAMP,22460000,SAN JOSE,AVE,REGENT,ST,ALEMANY,BLVD,545049,,"(37.7101158511, -122.457081602)"
337,CHESTER,AVE,22533000,ALEMANY,BLVD, , , , ,324014,,"(37.709904781, -122.470422317)"
338,TALBERT,CT,20345000,TALBERT,ST,VISITACION,AVE, , ,335158,,"(37.7109622061, -122.406198334)"
339,SARGENT,ST,22551000,RANDOLPH,ST,BEVERLY,ST,19TH,AVE,252463,,"(37.7161310074, -122.471585262)"
340,ROME,ST,21527000,MOUNT VERNON,AVE, , , , ,246236,,"(37.7165806107, -122.445192998)"
341,INGERSON,AVE,20102000,CORONADO,ST, , , , ,51379,,"(37.7175028564, -122.39021823)"
342,JAMESTOWN,AVE,33227000,HAWES,ST, , , , ,61729,,"(37.7175311005, -122.391612615)"
343,OLNEY,AVE,33182000,SAN BRUNO,AVE, , , , ,154440,,"(37.7174159878, -122.400025085)"
344,LAKEVIEW,AVE,21594000,CAINE,AVE, , , , ,146858,,"(37.7165881586, -122.451168607)"
345,RUSSIA,AVE,21622000,DUBLIN,ST, , , , ,101726,,"(37.7170023172, -122.427584861)"
346,JENNINGS,CT,33224000,MEADE,AVE, , , , ,109682,,"(37.7175134968, -122.396788944)"
347,GARCES,DR,23092000,RIVAS,AVE, , , , ,683731,,"(37.7161957792, -122.481623033)"
348,HWY 101 S ON,RAMP,52139000,HWY 101 S OF,RAMP, , , , ,260178,,"(37.7175476005, -122.399668018)"
349,KEITH,ST,33181000,SAN BRUNO,AVE, , , , ,106944,,"(37.7175426695, -122.400055677)"
350,HARKNESS,AVE,20558000,BRUSSELS,ST, , , , ,120834,,"(37.7175191478, -122.401615094)"
351,NELSON,AVE,33171000,03RD,ST, , , , ,256943,,"(37.7175708836, -122.398632707)"
352,MONTANA,ST,22574000,PLYMOUTH,AVE, , , , ,179908,,"(37.7166354157, -122.456100134)"
353,FITZGERALD,AVE,33220000,ARELIOUS WAL,DR, , , , ,373909,,"(37.7178020239, -122.385709748)"
354,GARCES,DR,22570000,VIDAL,DR, , , , ,244571,,"(37.7161827, -122.484461423)"
355,CAPITOL,AVE,22575000,MONTANA,ST, , , , ,123489,,"(37.7166083988, -122.459076761)"
356,MONTANA,ST,22593000,FAXON,AVE, , , , ,180301,,"(37.716597786, -122.460235866)"
357,AMAZON,AVE,21732000,LONDON,ST, , , , ,209591,,"(37.716963469, -122.439653517)"
358,SPARTA,ST,20583000,HARKNESS,AVE, , , , ,85351,,"(37.7175508276, -122.403763483)"
359,ARBALLO,DR,22568000,GARCES,DR, , , , ,259203,,"(37.7162513971, -122.483288111)"
360,LE CONTE,AVE,33645000,LE CONTE,CIR, , , , ,143618,,"(37.7177176532, -122.395569448)"
361,JENNINGS,ST,20463000,MEADE,AVE,JENNINGS,CT, , ,120267,,"(37.7177020071, -122.397119617)"
362,GONZALEZ,DR,33483000,GRIJALVA,DR, , , , ,699340,,"(37.7163801584, -122.479198703)"
363,03RD,ST,20544000,BAY SHORE,BLVD, , , , ,148229,,"(37.7177450307, -122.398447521)"
364,MAHAN,ST,51614000,H,ST, , , , ,331737,,"(37.7182903326, -122.365154395)"
365,MONTANA,ST,22203000,SUMMIT,ST,JOSIAH,AVE, , ,102123,,"(37.7168800392, -122.45416834)"
366,OTTAWA,AVE,22169000,OTEGA,AVE, , , , ,92423,,"(37.7170053458, -122.447972895)"
367,LAKEVIEW,AVE,21600000,MAJESTIC,AVE, , , , ,101260,,"(37.7169824445, -122.451908206)"
368,CAYUGA,AVE,22091000,MOUNT VERNON,AVE, , , , ,267214,,"(37.7170851661, -122.44582075)"
369,JAMESTOWN,AVE,20445000,REDONDO,ST, , , , ,110248,,"(37.7179635963, -122.392626463)"
370,RUSSIA,AVE,21624000,PRAGUE,ST, , , , ,139828,,"(37.7173844728, -122.428384675)"
371,HARKNESS,AVE,20584000,BISHOP,ST, , , , ,27359,,"(37.7178193273, -122.404546621)"
372,INGERSON,AVE,20439000,HAWES,ST, , , , ,69150,,"(37.7180449948, -122.391154571)"
373,AMAZON,AVE,22047000,MISSION,ST, , , , ,1081817,,"(37.7172495573, -122.440430949)"
374,HARKNESS,AVE,20556000,SAN BRUNO,AVE, , , , ,169809,,"(37.7179112511, -122.400144682)"
375,DELANO,AVE,22166000,NAHUA,AVE, , , , ,136081,,"(37.7171692459, -122.446961715)"
376,GENEVA,AVE,22050000,GLORIA,CT, , , , ,333452,,"(37.7172631113, -122.441636053)"
377,LISBON,ST,21728000,ITALY,AVE, , , , ,174162,,"(37.717341074, -122.43714602)"
378,RUTLAND,ST,20592000,HARKNESS,AVE, , , , ,213457,,"(37.7179501801, -122.405035197)"
379,ALEMANY,BLVD,54034000,CHANCERY,LN, , , , ,653004,,"(37.7173419281, -122.442874246)"
380,GONZALEZ,DR,33481000,FONT,BLVD, , , , ,358940,,"(37.7167927143, -122.475931646)"
381,GILMAN,AVE,20096000,GRIFFITH,ST, , , , ,337709,,"(37.7182405846, -122.388150071)"
382,ALEMANY,BLVD,22081000,RESTANI,WAY, , , , ,300922,,"(37.7174333275, -122.44296198)"
383,ALDER,ST,20593000,HARKNESS,AVE, , , , ,82678,,"(37.7180496491, -122.405359068)"
384,BAY SHORE,BLVD,20465000,03RD,ST,MEADE,AVE,HWY 101 N OF,RAMP,123006,,"(37.7181826671, -122.397994182)"
385,ARELIOUS WAL,DR,20092000,EGBERT,AVE, , , , ,352166,,"(37.7184123061, -122.385170266)"
386,ERVINE,ST,33335000,WILDE,AVE, , , , ,172941,,"(37.7180949631, -122.408268153)"
387,RUSSIA,AVE,21625000,MUNICH,ST, , , , ,193268,,"(37.7177666581, -122.429184571)"
